discount,quantity,total
Anniversary,3,-25
Birthday,38,-343
CBAA Discount,11,-42.95
Didn't Like Food,27,-341.25
Email Champagne,4,-40
Email Dessert,2,-16
Email Free Birthday,1,-9
Email TY Dining,3,-43
Email TY Joining,7,-99
Employee 50%,225,-1704.03
FREE Pretzel APP,1,-6.5
FREE Pretzel Coupon,13,-169
Food Quality,4,-60
Happy Hour $1 Off,29,-29
Happy Hour 50%,54,-386.75
Karate School,4,-36
Kitchen Mistake,4,-30
Kitchen Took Too Long,4,-69.25
Mug Club Wine,12,-53.1
Open Discount,11,-140.5
Server Mis-ring,16,-208.5
Total,473,-3851.83
